F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,1.2173595471422485,0.61,6.0
102000,76800000,2,1.760718373096223,0.44,6.0
102000,76800000,3,2.1416945086952794,0.36,6.0
102000,76800000,4,2.3394549070066675,0.31,6.0
102000,153600000,1,1.2173595471422485,0.61,32.0
102000,153600000,2,1.760718373096223,0.44,32.0
102000,153600000,3,2.1416945086952794,0.36,32.0
102000,153600000,4,2.3394549070066675,0.31,32.0
102000,230400000,1,1.2173595471422485,0.61,37.0
102000,230400000,2,1.760718373096223,0.44,37.0
102000,230400000,3,2.1416945086952794,0.36,37.0
102000,230400000,4,2.3394549070066675,0.31,37.0
102000,307200000,1,1.2173595471422485,0.61,42.0
102000,307200000,2,1.760718373096223,0.44,42.0
102000,307200000,3,2.1416945086952794,0.36,42.0
102000,307200000,4,2.3394549070066675,0.31,42.0
102000,384000000,1,1.2173595471422485,0.61,42.0
102000,384000000,2,1.760718373096223,0.44,42.0
102000,384000000,3,2.1416945086952794,0.36,42.0
102000,384000000,4,2.3394549070066675,0.31,42.0
102000,460800000,1,1.2173595471422485,0.61,42.0
102000,460800000,2,1.760718373096223,0.44,42.0
102000,460800000,3,2.1416945086952794,0.36,42.0
102000,460800000,4,2.3394549070066675,0.31,42.0
102000,537600000,1,1.2173595471422485,0.61,42.0
102000,537600000,2,1.760718373096223,0.44,42.0
102000,537600000,3,2.1416945086952794,0.36,42.0
102000,537600000,4,2.3394549070066675,0.31,42.0
102000,614400000,1,1.2173595471422485,0.61,42.0
102000,614400000,2,1.760718373096223,0.44,42.0
102000,614400000,3,2.1416945086952794,0.36,42.0
102000,614400000,4,2.3394549070066675,0.31,42.0
102000,691200000,1,1.2173595471422485,0.61,76.0
102000,691200000,2,1.760718373096223,0.44,76.0
102000,691200000,3,2.1416945086952794,0.36,76.0
102000,691200000,4,2.3394549070066675,0.31,76.0
102000,768000000,1,1.2173595471422485,0.61,85.0
102000,768000000,2,1.760718373096223,0.44,85.0
102000,768000000,3,2.1416945086952794,0.36,85.0
102000,768000000,4,2.3394549070066675,0.31,85.0
102000,844800000,1,1.2173595471422485,0.61,85.0
102000,844800000,2,1.760718373096223,0.44,85.0
102000,844800000,3,2.1416945086952794,0.36,85.0
102000,844800000,4,2.3394549070066675,0.31,85.0
102000,921600000,1,1.2173595471422485,0.61,127.0
102000,921600000,2,1.760718373096223,0.44,127.0
102000,921600000,3,2.1416945086952794,0.36,127.0
102000,921600000,4,2.3394549070066675,0.31,127.0
204000,76800000,1,2.4305471161558465,0.61,6.0
204000,76800000,2,3.6525677551318583,0.45,6.0
204000,76800000,3,4.276611213274601,0.36,6.0
204000,76800000,4,4.677487253847233,0.3,6.0
204000,153600000,1,2.4305471161558465,0.61,32.0
204000,153600000,2,3.6525677551318583,0.45,32.0
204000,153600000,3,4.276611213274601,0.36,32.0
204000,153600000,4,4.677487253847233,0.3,32.0
204000,230400000,1,2.4305471161558465,0.61,37.0
204000,230400000,2,3.6525677551318583,0.45,37.0
204000,230400000,3,4.276611213274601,0.36,37.0
204000,230400000,4,4.677487253847233,0.3,37.0
204000,307200000,1,2.4305471161558465,0.61,42.0
204000,307200000,2,3.6525677551318583,0.45,42.0
204000,307200000,3,4.276611213274601,0.36,42.0
204000,307200000,4,4.677487253847233,0.3,42.0
204000,384000000,1,2.4305471161558465,0.61,42.0
204000,384000000,2,3.6525677551318583,0.45,42.0
204000,384000000,3,4.276611213274601,0.36,42.0
204000,384000000,4,4.677487253847233,0.3,42.0
204000,460800000,1,2.4305471161558465,0.61,42.0
204000,460800000,2,3.6525677551318583,0.45,42.0
204000,460800000,3,4.276611213274601,0.36,42.0
204000,460800000,4,4.677487253847233,0.3,42.0
204000,537600000,1,2.4305471161558465,0.61,42.0
204000,537600000,2,3.6525677551318583,0.45,42.0
204000,537600000,3,4.276611213274601,0.36,42.0
204000,537600000,4,4.677487253847233,0.3,42.0
204000,614400000,1,2.4305471161558465,0.61,42.0
204000,614400000,2,3.6525677551318583,0.45,42.0
204000,614400000,3,4.276611213274601,0.36,42.0
204000,614400000,4,4.677487253847233,0.3,42.0
204000,691200000,1,2.4305471161558465,0.61,76.0
204000,691200000,2,3.6525677551318583,0.45,76.0
204000,691200000,3,4.276611213274601,0.36,76.0
204000,691200000,4,4.677487253847233,0.3,76.0
204000,768000000,1,2.4305471161558465,0.61,85.0
204000,768000000,2,3.6525677551318583,0.45,85.0
204000,768000000,3,4.276611213274601,0.36,85.0
204000,768000000,4,4.677487253847233,0.3,85.0
204000,844800000,1,2.4305471161558465,0.61,85.0
204000,844800000,2,3.6525677551318583,0.45,85.0
204000,844800000,3,4.276611213274601,0.36,85.0
204000,844800000,4,4.677487253847233,0.3,85.0
204000,921600000,1,2.4305471161558465,0.61,127.0
204000,921600000,2,3.6525677551318583,0.45,127.0
204000,921600000,3,4.276611213274601,0.36,127.0
204000,921600000,4,4.677487253847233,0.3,127.0
307200,76800000,1,3.668782331144293,0.6,6.0
307200,76800000,2,5.33304890405845,0.44,6.0
307200,76800000,3,6.222000995520159,0.34,6.0
307200,76800000,4,6.74809366354005,0.29,6.0
307200,153600000,1,3.668782331144293,0.6,32.0
307200,153600000,2,5.33304890405845,0.44,32.0
307200,153600000,3,6.222000995520159,0.34,32.0
307200,153600000,4,6.74809366354005,0.29,32.0
307200,230400000,1,3.668782331144293,0.6,37.0
307200,230400000,2,5.33304890405845,0.44,37.0
307200,230400000,3,6.222000995520159,0.34,37.0
307200,230400000,4,6.74809366354005,0.29,37.0
307200,307200000,1,3.668782331144293,0.6,42.0
307200,307200000,2,5.33304890405845,0.44,42.0
307200,307200000,3,6.222000995520159,0.34,42.0
307200,307200000,4,6.74809366354005,0.29,42.0
307200,384000000,1,3.668782331144293,0.6,42.0
307200,384000000,2,5.33304890405845,0.44,42.0
307200,384000000,3,6.222000995520159,0.34,42.0
307200,384000000,4,6.74809366354005,0.29,42.0
307200,460800000,1,3.668782331144293,0.6,42.0
307200,460800000,2,5.33304890405845,0.44,42.0
307200,460800000,3,6.222000995520159,0.34,42.0
307200,460800000,4,6.74809366354005,0.29,42.0
307200,537600000,1,3.668782331144293,0.6,42.0
307200,537600000,2,5.33304890405845,0.44,42.0
307200,537600000,3,6.222000995520159,0.34,42.0
307200,537600000,4,6.74809366354005,0.29,42.0
307200,614400000,1,3.668782331144293,0.6,42.0
307200,614400000,2,5.33304890405845,0.44,42.0
307200,614400000,3,6.222000995520159,0.34,42.0
