F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,1.5474127259222579,0.01,42.0
102000,153600000,1,1.5519997516800397,0.01,42.0
102000,230400000,1,1.553132668592551,0.01,42.0
102000,307200000,1,1.5518552429429384,0.01,42.0
102000,384000000,1,1.5535669898086006,0.01,42.0
102000,460800000,1,1.5476522115950104,0.01,42.0
102000,537600000,1,1.6049561044505432,0.0,85.0
102000,614400000,1,1.6063998971904065,0.0,85.0
102000,691200000,1,1.6049045884222182,0.0,85.0
102000,768000000,1,1.6092175984036563,0.0,127.0
102000,844800000,1,1.602923732888789,0.0,127.0
102000,921600000,1,1.6045955616886762,0.0,169.0
204000,76800000,1,2.9562184054157923,0.02,42.0
204000,153600000,1,2.9822259334367174,0.01,42.0
204000,230400000,1,2.9762790559242833,0.01,42.0
204000,307200000,1,2.972474882587242,0.01,42.0
204000,384000000,1,2.973093503790694,0.01,85.0
204000,460800000,1,2.9824927674550388,0.01,85.0
204000,537600000,1,3.2252862441541685,0.01,84.0
204000,614400000,1,3.225806451612903,0.0,84.0
204000,691200000,1,3.2321665212191735,0.0,127.0
204000,768000000,1,3.229974160206718,0.0,127.0
204000,844800000,1,3.2229993231701424,0.0,169.0
204000,921600000,1,3.2273680813296752,0.01,169.0
307200,76800000,1,4.153858934950569,0.02,42.0
307200,153600000,1,4.168924834285238,0.02,42.0
307200,230400000,1,4.16579879191835,0.02,42.0
307200,307200000,1,4.1623309053069715,0.02,52.75
307200,384000000,1,4.16579879191835,0.02,85.0
307200,460800000,1,4.200798151648813,0.02,85.0
307200,537600000,1,4.806536890170632,0.01,84.0
307200,614400000,1,4.796163069544365,0.01,84.0
307200,691200000,1,4.790648653827728,0.01,109.8
307200,768000000,1,4.790419161676646,0.01,127.0
307200,844800000,1,4.803304673615448,0.0,169.0
307200,921600000,1,4.780343228643817,0.01,177.6
403200,76800000,1,6.011060351045924,0.03,42.0
403200,153600000,1,6.117330397014743,0.02,42.0
403200,230400000,1,6.145526057030482,0.01,42.0
403200,307200000,1,6.145903755147194,0.01,56.0
403200,384000000,1,6.170554115759595,0.01,70.0
403200,460800000,1,6.166368625516434,0.01,84.0
403200,537600000,1,6.172839506172839,0.01,84.0
403200,614400000,1,6.181233774261343,0.01,84.0
403200,691200000,1,6.178178672927221,0.01,127.0
403200,768000000,1,6.183527083848627,0.01,127.0
403200,844800000,1,6.1804697156983925,0.01,169.0
403200,921600000,1,6.180851721367205,0.01,176.17
518400,76800000,1,7.4482347683598995,0.03,42.0
518400,153600000,1,7.757350089209527,0.02,42.0
518400,230400000,1,7.811279487580065,0.01,42.0
518400,307200000,1,7.831466833737959,0.01,48.0
518400,384000000,1,7.854225573358467,0.01,72.0
518400,460800000,1,7.861635220125786,0.01,84.0
518400,537600000,1,7.870916961826053,0.01,84.0
518400,614400000,1,7.861017215627703,0.01,84.0
518400,691200000,1,7.867820613690008,0.01,127.0
518400,768000000,1,7.848677497841614,0.01,127.0
518400,844800000,1,7.882084023015685,0.01,169.0
518400,921600000,1,7.874015748031496,0.01,169.0
614400,76800000,1,8.580008580008581,0.04,42.0
614400,153600000,1,9.01631953836444,0.02,42.0
614400,230400000,1,9.125752874612155,0.02,42.0
614400,307200000,1,9.153318077803204,0.01,78.75
614400,384000000,1,9.10912734560029,0.01,84.0
614400,460800000,1,9.111617312072893,0.01,84.0
614400,537600000,1,9.137426900584796,0.01,84.0
614400,614400000,1,9.143275121148395,0.01,84.0
614400,691200000,1,9.169264624977076,0.01,121.62
614400,768000000,1,9.139932364500503,0.01,127.0
614400,844800000,1,9.131586156515386,0.01,169.0
