F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,3.681478481758274,0.0,42.0
102000,76800000,1,10,2.9192818566632606,0.15,42.0
102000,76800000,1,20,2.513699663164245,0.26,42.0
102000,76800000,1,30,2.1597805662944647,0.36,42.0
102000,76800000,1,40,1.9639805958717127,0.42,42.0
102000,76800000,1,50,1.7873739901336956,0.46,42.0
102000,76800000,1,60,1.6264658523494298,0.51,42.0
102000,76800000,1,70,1.4908239784128687,0.55,42.0
102000,76800000,1,80,1.3790440466668505,0.59,42.0
102000,76800000,1,90,1.2785598302072545,0.62,42.0
102000,76800000,1,100,1.2081818071983472,0.63,42.0
102000,153600000,1,0,3.6577782654815465,0.0,42.0
102000,153600000,1,10,3.059601028025946,0.1,42.0
102000,153600000,1,20,2.767093721464346,0.18,42.0
102000,153600000,1,30,2.4814511526340604,0.25,42.0
102000,153600000,1,40,2.3527197440240917,0.29,42.0
102000,153600000,1,50,2.191396577038547,0.34,42.0
102000,153600000,1,60,2.069108214359611,0.37,42.0
102000,153600000,1,70,1.9433701925879858,0.42,42.0
102000,153600000,1,80,1.8446781036709095,0.44,42.0
102000,153600000,1,90,1.7394026891165575,0.47,42.0
102000,153600000,1,100,1.6623722051367302,0.49,42.0
102000,230400000,1,0,3.627525664744078,0.0,42.0
102000,230400000,1,10,3.1369596586987893,0.09,42.0
102000,230400000,1,20,2.8408283855572285,0.17,42.0
102000,230400000,1,30,2.618486514794449,0.23,42.0
102000,230400000,1,40,2.455313297976822,0.27,42.0
102000,230400000,1,50,2.304837854656925,0.31,42.0
102000,230400000,1,60,2.192790106131041,0.34,42.0
102000,230400000,1,70,2.083246531394525,0.37,42.0
102000,230400000,1,80,1.9763236427597384,0.41,42.0
102000,230400000,1,90,1.8879323365050598,0.43,42.0
102000,230400000,1,100,1.8349970640046975,0.45,42.0
102000,307200000,1,0,3.682834309284426,0.0,42.0
102000,307200000,1,10,3.201741747510646,0.07,42.0
102000,307200000,1,20,2.948721729130422,0.14,42.0
102000,307200000,1,30,2.715472763808179,0.2,42.0
102000,307200000,1,40,2.5469271324147416,0.24,42.0
102000,307200000,1,50,2.422187235073271,0.28,42.0
102000,307200000,1,60,2.2879630265174917,0.31,42.0
102000,307200000,1,70,2.1747167431442054,0.34,42.0
102000,307200000,1,80,2.080992217089108,0.38,42.0
102000,307200000,1,90,1.9997200391945127,0.4,42.0
102000,307200000,1,100,1.9018999980981002,0.43,42.0
102000,384000000,1,0,3.713330857779428,0.0,42.0
102000,384000000,1,10,3.2320620555914674,0.07,42.0
102000,384000000,1,20,2.9870362626202285,0.13,42.0
102000,384000000,1,30,2.7657926761809937,0.18,42.0
102000,384000000,1,40,2.5875229642663076,0.23,42.0
