F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,0,6.395497569710923,0.0,6.0
102000,76800000,1,10,0.18622286034589033,0.98,6.0
102000,76800000,1,20,0.09436633009342267,0.99,6.0
102000,76800000,1,30,0.06129216134548553,0.99,6.0
102000,76800000,1,40,0.046424608756609705,0.99,6.0
102000,76800000,1,50,0.0373852739405948,0.99,6.0
102000,76800000,1,60,0.03125263694124192,1.0,6.0
102000,76800000,1,70,0.0267849490014571,1.0,6.0
102000,76800000,1,80,0.023494032515741003,1.0,6.0
102000,76800000,1,90,0.020919845611539388,1.0,6.0
102000,76800000,1,100,0.019034023316678562,1.0,6.0
102000,76800000,2,0,7.610929294466855,0.0,6.0
102000,76800000,2,10,0.3611946875485355,0.95,6.0
102000,76800000,2,20,0.18548608483391577,0.97,6.0
102000,76800000,2,30,0.12085103297420435,0.98,6.0
102000,76800000,2,40,0.09182736455463728,0.99,6.0
102000,76800000,2,50,0.0738765227798258,0.99,6.0
102000,76800000,2,60,0.06208750613114123,0.99,6.0
102000,76800000,2,70,0.053384582532564596,0.99,6.0
102000,76800000,2,80,0.04683731060162526,0.99,6.0
102000,76800000,2,90,0.04177667858694562,0.99,6.0
102000,76800000,2,100,0.03808682272107496,0.99,6.0
102000,76800000,3,0,7.893905904641616,0.0,6.0
102000,76800000,3,10,0.5311464264468428,0.93,6.0
102000,76800000,3,20,0.2753842298466936,0.96,6.0
102000,76800000,3,30,0.17971518737105435,0.97,6.0
102000,76800000,3,40,0.13713809257369802,0.98,6.0
102000,76800000,3,50,0.1106282801285058,0.98,6.0
102000,76800000,3,60,0.09258487718616042,0.99,6.0
102000,76800000,3,70,0.07984031936127745,0.99,6.0
102000,76800000,3,80,0.07000301012943556,0.99,6.0
102000,76800000,3,90,0.062408727236416744,0.99,6.0
102000,76800000,3,100,0.05680462616875518,0.99,6.0
102000,76800000,4,0,7.899518129394107,0.0,6.0
102000,76800000,4,10,0.6864313122507396,0.91,6.0
102000,76800000,4,20,0.3597717607949517,0.95,6.0
102000,76800000,4,30,0.23391977019721774,0.97,6.0
102000,76800000,4,40,0.1781667355578044,0.98,6.0
102000,76800000,4,50,0.14520911564744388,0.98,6.0
102000,76800000,4,60,0.12032159556061442,0.98,6.0
102000,76800000,4,70,0.10342309768725269,0.99,6.0
102000,76800000,4,80,0.09204797540478098,0.99,6.0
102000,76800000,4,90,0.0817608006017595,0.99,6.0
102000,76800000,4,100,0.07471217135983622,0.99,6.0
102000,153600000,1,0,6.395497569710923,0.0,32.0
102000,153600000,1,10,0.18622286034589033,0.98,32.0
102000,153600000,1,20,0.09436633009342267,0.99,32.0
102000,153600000,1,30,0.06129216134548553,0.99,32.0
102000,153600000,1,40,0.046424608756609705,0.99,32.0
102000,153600000,1,50,0.0373852739405948,0.99,32.0
102000,153600000,1,60,0.03125263694124192,1.0,32.0
102000,153600000,1,70,0.0267849490014571,1.0,32.0
102000,153600000,1,80,0.023494032515741003,1.0,32.0
102000,153600000,1,90,0.020919845611539388,1.0,32.0
102000,153600000,1,100,0.019034023316678562,1.0,32.0
102000,153600000,2,0,7.610929294466855,0.0,32.0
102000,153600000,2,10,0.3611946875485355,0.95,32.0
102000,153600000,2,20,0.18548608483391577,0.97,32.0
102000,153600000,2,30,0.12085103297420435,0.98,32.0
102000,153600000,2,40,0.09182736455463728,0.99,32.0
102000,153600000,2,50,0.0738765227798258,0.99,32.0
102000,153600000,2,60,0.06208750613114123,0.99,32.0
102000,153600000,2,70,0.053384582532564596,0.99,32.0
102000,153600000,2,80,0.04683731060162526,0.99,32.0
102000,153600000,2,90,0.04177667858694562,0.99,32.0
102000,153600000,2,100,0.03808682272107496,0.99,32.0
102000,153600000,3,0,7.893905904641616,0.0,32.0
102000,153600000,3,10,0.5311464264468428,0.93,32.0
102000,153600000,3,20,0.2753842298466936,0.96,32.0
102000,153600000,3,30,0.17971518737105435,0.97,32.0
102000,153600000,3,40,0.13713809257369802,0.98,32.0
102000,153600000,3,50,0.1106282801285058,0.98,32.0
102000,153600000,3,60,0.09258487718616042,0.99,32.0
102000,153600000,3,70,0.07984031936127745,0.99,32.0
102000,153600000,3,80,0.07000301012943556,0.99,32.0
102000,153600000,3,90,0.062408727236416744,0.99,32.0
102000,153600000,3,100,0.05680462616875518,0.99,32.0
102000,153600000,4,0,7.899518129394107,0.0,32.0
102000,153600000,4,10,0.6864313122507396,0.91,32.0
102000,153600000,4,20,0.3597717607949517,0.95,32.0
102000,153600000,4,30,0.23391977019721774,0.97,32.0
102000,153600000,4,40,0.1781667355578044,0.98,32.0
102000,153600000,4,50,0.14520911564744388,0.98,32.0
102000,153600000,4,60,0.12032159556061442,0.98,32.0
102000,153600000,4,70,0.10342309768725269,0.99,32.0
102000,153600000,4,80,0.09204797540478098,0.99,32.0
102000,153600000,4,90,0.0817608006017595,0.99,32.0
102000,153600000,4,100,0.07471217135983622,0.99,32.0
102000,230400000,1,0,6.395497569710923,0.0,37.0
102000,230400000,1,10,0.18622286034589033,0.98,37.0
102000,230400000,1,20,0.09436633009342267,0.99,37.0
102000,230400000,1,30,0.06129216134548553,0.99,37.0
102000,230400000,1,40,0.046424608756609705,0.99,37.0
102000,230400000,1,50,0.0373852739405948,0.99,37.0
102000,230400000,1,60,0.03125263694124192,1.0,37.0
102000,230400000,1,70,0.0267849490014571,1.0,37.0
102000,230400000,1,80,0.023494032515741003,1.0,37.0
102000,230400000,1,90,0.020919845611539388,1.0,37.0
102000,230400000,1,100,0.019034023316678562,1.0,37.0
102000,230400000,2,0,7.610929294466855,0.0,37.0
102000,230400000,2,10,0.3611946875485355,0.95,37.0
