F_CPU,F_GPU,N_THREADS,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,76800000,1,2.1619284401686305,0.26,6.0
102000,76800000,2,2.5103552152629596,0.16,6.0
102000,76800000,3,2.5589845949127388,0.12,6.0
102000,76800000,4,2.488181139586962,0.12,6.0
102000,153600000,1,2.1619284401686305,0.26,32.0
102000,153600000,2,2.5103552152629596,0.16,32.0
102000,153600000,3,2.5589845949127388,0.12,32.0
102000,153600000,4,2.488181139586962,0.12,32.0
102000,230400000,1,2.1619284401686305,0.26,37.0
102000,230400000,2,2.5103552152629596,0.16,37.0
102000,230400000,3,2.5589845949127388,0.12,37.0
102000,230400000,4,2.488181139586962,0.12,37.0
102000,307200000,1,2.1619284401686305,0.26,42.0
102000,307200000,2,2.5103552152629596,0.16,42.0
102000,307200000,3,2.5589845949127388,0.12,42.0
102000,307200000,4,2.488181139586962,0.12,42.0
102000,384000000,1,2.1619284401686305,0.26,42.0
102000,384000000,2,2.5103552152629596,0.16,42.0
102000,384000000,3,2.5589845949127388,0.12,42.0
102000,384000000,4,2.488181139586962,0.12,42.0
102000,460800000,1,2.1619284401686305,0.26,42.0
102000,460800000,2,2.5103552152629596,0.16,42.0
102000,460800000,3,2.5589845949127388,0.12,42.0
102000,460800000,4,2.488181139586962,0.12,42.0
102000,537600000,1,2.1619284401686305,0.26,42.0
102000,537600000,2,2.5103552152629596,0.16,42.0
102000,537600000,3,2.5589845949127388,0.12,42.0
102000,537600000,4,2.488181139586962,0.12,42.0
102000,614400000,1,2.1619284401686305,0.26,42.0
102000,614400000,2,2.5103552152629596,0.16,42.0
102000,614400000,3,2.5589845949127388,0.12,42.0
102000,614400000,4,2.488181139586962,0.12,42.0
102000,691200000,1,2.1619284401686305,0.26,76.0
102000,691200000,2,2.5103552152629596,0.16,76.0
102000,691200000,3,2.5589845949127388,0.12,76.0
102000,691200000,4,2.488181139586962,0.12,76.0
102000,768000000,1,2.1619284401686305,0.26,85.0
102000,768000000,2,2.5103552152629596,0.16,85.0
102000,768000000,3,2.5589845949127388,0.12,85.0
102000,768000000,4,2.488181139586962,0.12,85.0
102000,844800000,1,2.1619284401686305,0.26,85.0
102000,844800000,2,2.5103552152629596,0.16,85.0
102000,844800000,3,2.5589845949127388,0.12,85.0
102000,844800000,4,2.488181139586962,0.12,85.0
102000,921600000,1,2.1619284401686305,0.26,127.0
102000,921600000,2,2.5103552152629596,0.16,127.0
102000,921600000,3,2.5589845949127388,0.12,127.0
102000,921600000,4,2.488181139586962,0.12,127.0
204000,76800000,1,4.401602183194683,0.28,6.0
204000,76800000,2,5.1350518640238265,0.15,6.0
204000,76800000,3,5.318583129454313,0.12,6.0
204000,76800000,4,5.477051155657794,0.09,6.0
204000,153600000,1,4.401602183194683,0.28,32.0
204000,153600000,2,5.1350518640238265,0.15,32.0
204000,153600000,3,5.318583129454313,0.12,32.0
204000,153600000,4,5.477051155657794,0.09,32.0
204000,230400000,1,4.401602183194683,0.28,37.0
204000,230400000,2,5.1350518640238265,0.15,37.0
204000,230400000,3,5.318583129454313,0.12,37.0
204000,230400000,4,5.477051155657794,0.09,37.0
204000,307200000,1,4.401602183194683,0.28,42.0
204000,307200000,2,5.1350518640238265,0.15,42.0
204000,307200000,3,5.318583129454313,0.12,42.0
204000,307200000,4,5.477051155657794,0.09,42.0
204000,384000000,1,4.401602183194683,0.28,42.0
204000,384000000,2,5.1350518640238265,0.15,42.0
204000,384000000,3,5.318583129454313,0.12,42.0
204000,384000000,4,5.477051155657794,0.09,42.0
204000,460800000,1,4.401602183194683,0.28,42.0
204000,460800000,2,5.1350518640238265,0.15,42.0
204000,460800000,3,5.318583129454313,0.12,42.0
204000,460800000,4,5.477051155657794,0.09,42.0
204000,537600000,1,4.401602183194683,0.28,42.0
